@relation MSD_JMIR_LPC_ALL-weka.filters.unsupervised.attribute.Remove-R3-22_MSD_JMIR_MEATHODS_OF_MOMENTS_ALL-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute Method_of_Moments_Overall_Standard_Deviation_1 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_2 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_3 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_4 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_5 numeric
@attribute Method_of_Moments_Overall_Average_1 numeric
@attribute Method_of_Moments_Overall_Average_2 numeric
@attribute Method_of_Moments_Overall_Average_3 numeric
@attribute Method_of_Moments_Overall_Average_4 numeric
@attribute Method_of_Moments_Overall_Average_5 numeric
@attribute class {BIG_BAND,BLUES_CONTEMPORARY,COUNTRY_TRADITIONAL,DANCE,ELECTRONICA,EXPERIMENTAL,FOLK_INTERNATIONAL,GOSPEL,GRUNGE_EMO,HIP_HOP_RAP,JAZZ_CLASSIC,METAL_ALTERNATIVE,METAL_DEATH,METAL_HEAVY,POP_CONTEMPORARY,POP_INDIE,POP_LATIN,PUNK,REGGAE,RNB_SOUL,ROCK_ALTERNATIVE,ROCK_COLLEGE,ROCK_CONTEMPORARY,ROCK_HARD,ROCK_NEO_PSYCHEDELIA}

@data
-0.930878,-0.713698,-0.695898,-0.69973,-0.725437,-0.951053,-0.56338,-0.532477,-0.000418,-0.271326,ROCK_COLLEGE
-0.836403,-0.699393,-0.665064,-0.70414,-0.72932,-0.863438,-0.586667,-0.5022,-0.01125,-0.321623,JAZZ_CLASSIC
-0.828788,-0.505781,-0.549293,-0.5991,-0.660693,-0.923376,-0.693521,-0.725753,-0.496591,-0.793757,GOSPEL
-0.824269,-0.849069,-0.795191,-0.762106,-0.724161,-0.906886,-0.860131,-0.957789,-0.754553,-0.965171,JAZZ_CLASSIC
-0.78768,-0.782755,-0.767115,-0.685149,-0.672788,-0.792537,-0.642441,-0.655342,-0.122517,-0.340326,BLUES_CONTEMPORARY
-0.6629,-0.439937,-0.58041,-0.716292,-0.757725,-0.823279,-0.676244,-0.792396,-0.639908,-0.89703,ROCK_COLLEGE
-0.383687,-0.54223,-0.497171,-0.638794,-0.691262,-0.739849,-0.596995,-0.560641,-0.111193,-0.366612,POP_CONTEMPORARY
-0.866151,-0.757123,-0.766761,-0.768047,-0.788571,-0.857486,-0.563756,-0.535997,0.027152,-0.222545,METAL_ALTERNATIVE
-0.499768,-0.672428,-0.624257,-0.581998,-0.58086,-0.645935,-0.64939,-0.609576,-0.126455,-0.387843,ROCK_COLLEGE
-0.504411,-0.60533,-0.5686,-0.637894,-0.686436,-0.720835,-0.504601,-0.444464,0.030598,-0.281688,POP_INDIE
-0.435691,-0.739526,-0.713225,-0.754095,-0.751567,-0.751844,-0.47493,-0.611336,-0.461537,-0.796487,GRUNGE_EMO
-0.393283,-0.642171,-0.631825,-0.761656,-0.778419,-0.347401,-0.400751,-0.355395,0.142358,-0.16871,ROCK_NEO_PSYCHEDELIA
-0.275344,-0.40388,-0.53239,-0.659856,-0.735146,-0.583741,-0.464413,-0.403626,0.004013,-0.307974,HIP_HOP_RAP
-0.358613,-0.429747,-0.483805,-0.572367,-0.660305,-0.516215,-0.177089,-0.22408,-0.20769,-0.558954,ROCK_HARD
-0.719703,-0.380756,-0.309194,-0.475518,-0.519778,-0.819725,-0.602254,-0.474036,-0.155995,-0.478074,ELECTRONICA
-0.479957,-0.739526,-0.766902,-0.852835,-0.855756,-0.440515,-0.399437,-0.34589,0.181252,-0.13838,ROCK_NEO_PSYCHEDELIA
-0.475933,-0.748579,-0.789392,-0.882628,-0.864799,-0.518081,-0.335962,-0.258933,0.205869,-0.152281,ROCK_HARD
-0.573441,-0.477562,-0.503819,-0.641404,-0.690153,-0.723323,-0.476244,-0.378278,0.023213,-0.30115,ROCK_CONTEMPORARY
-0.652066,-0.621399,-0.644625,-0.781368,-0.818252,-0.791915,-0.348545,-0.531421,-0.457204,-0.789233,BIG_BAND
-0.566631,-0.69465,-0.66761,-0.757336,-0.791789,-0.57139,-0.495211,-0.387784,0.099525,-0.231644,POP_INDIE
-0.622659,-0.600235,-0.604031,-0.680288,-0.683939,-0.770591,-0.453521,-0.373702,0.09854,-0.225831,POP_INDIE
-0.489243,-0.691397,-0.8,-0.89676,-0.895867,-0.361084,-0.213146,-0.223728,0.244763,-0.095918,ROCK_COLLEGE
-0.694196,-0.638762,-0.688755,-0.809091,-0.82491,-0.732741,-0.352864,-0.283929,0.173867,-0.162138,ROCK_ALTERNATIVE
-0.410618,-0.230257,-0.170438,-0.2973,-0.433564,-0.730253,-0.4077,-0.241683,-0.102824,-0.464426,ELECTRONICA
-0.400402,-0.354497,-0.395757,-0.60441,-0.668516,-0.755398,-0.509296,-0.528956,-0.416587,-0.737141,JAZZ_CLASSIC
-0.503792,-0.78252,-0.789604,-0.8991,-0.897087,-0.514971,-0.362066,-0.290618,0.198484,-0.152028,PUNK
-0.496982,-0.671958,-0.656365,-0.720612,-0.727323,-0.79307,-0.750798,-0.811899,-0.601408,-0.874434,ROCK_CONTEMPORARY
-0.55332,-0.685126,-0.697808,-0.783708,-0.800111,-0.646824,-0.440751,-0.354339,0.139896,-0.191204,BLUES_CONTEMPORARY
-0.529794,-0.779541,-0.822419,-0.90189,-0.885659,-0.426744,-0.262535,-0.259285,0.253625,-0.079742,GRUNGE_EMO
-0.865408,-0.600235,-0.612023,-0.668407,-0.7043,-0.934891,-0.576714,-0.528604,-0.048175,-0.334007,BIG_BAND
-0.445597,-0.775544,-0.806365,-0.832223,-0.820804,-0.51817,-0.445822,-0.412075,0.165005,-0.128017,ROCK_HARD
-0.504102,-0.613913,-0.660255,-0.763996,-0.80111,-0.668325,-0.563005,-0.644077,-0.468626,-0.795097,COUNTRY_TRADITIONAL
-0.560749,-0.695395,-0.698373,-0.837894,-0.867906,-0.472857,-0.403192,-0.338497,0.152204,-0.181347,PUNK
-0.445906,-0.686498,-0.739321,-0.837354,-0.837503,-0.417237,-0.351362,-0.293082,0.194053,-0.141666,METAL_HEAVY
-0.577155,-0.743876,-0.732885,-0.811881,-0.837282,-0.522079,-0.536526,-0.479669,0.042907,-0.260963,ROCK_HARD
-0.37471,-0.691789,-0.649364,-0.8036,-0.828072,-0.572012,-0.465352,-0.388136,0.09854,-0.226842,POP_LATIN
-0.652376,-0.77864,-0.738967,-0.656886,-0.650818,-0.797779,-0.697465,-0.656328,-0.177658,-0.432074,ROCK_ALTERNATIVE
-0.377186,-0.505389,-0.579279,-0.669307,-0.696089,-0.645047,-0.415023,-0.506425,-0.372326,-0.706306,ELECTRONICA
-0.710726,-0.538703,-0.57447,-0.616022,-0.645992,-0.854109,-0.579718,-0.557824,-0.092485,-0.366612,FOLK_INTERNATIONAL
-0.498839,-0.752851,-0.767115,-0.816562,-0.843939,-0.39076,-0.460094,-0.411371,0.148758,-0.145204,METAL_DEATH
-0.51896,-0.599451,-0.531117,-0.634653,-0.674452,-0.631008,-0.45446,-0.556768,-0.430027,-0.76004,ROCK_COLLEGE
-0.454883,-0.67768,-0.649717,-0.689739,-0.710791,-0.605153,-0.525822,-0.460658,0.055215,-0.24049,EXPERIMENTAL
-0.38864,-0.494415,-0.497171,-0.562466,-0.584022,-0.60853,-0.517934,-0.426509,0.008936,-0.304688,DANCE
-0.25801,-0.651617,-0.609335,-0.60387,-0.649598,-0.475966,-0.551737,-0.651646,-0.460306,-0.783597,POP_CONTEMPORARY
-0.797059,-0.674192,-0.626591,-0.677498,-0.701248,-0.885029,-0.600939,-0.478613,-0.018635,-0.355491,JAZZ_CLASSIC
-0.713667,-0.675524,-0.646535,-0.677138,-0.679001,-0.771479,-0.730892,-0.719662,-0.292371,-0.518514,POP_INDIE
-0.779013,-0.524593,-0.600283,-0.714041,-0.800055,-0.817859,-0.474366,-0.365957,0.046353,-0.290787,ROCK_NEO_PSYCHEDELIA
-0.492648,-0.192632,-0.282885,-0.441134,-0.454147,-0.773789,-0.504789,-0.43179,-0.14221,-0.432074,EXPERIMENTAL
-0.599752,-0.648089,-0.672136,-0.715752,-0.726103,-0.759307,-0.471174,-0.450801,0.087217,-0.204853,JAZZ_CLASSIC
-0.513388,-0.48109,-0.666761,-0.779838,-0.807323,-0.788805,-0.419906,-0.621193,-0.548975,-0.836067,PUNK
-0.375329,-0.580639,-0.601909,-0.708011,-0.73792,-0.472323,-0.323192,-0.226193,0.138419,-0.213193,ELECTRONICA
-0.291441,-0.414462,-0.392079,-0.293429,-0.267129,-0.548023,-0.470986,-0.418412,0.015828,-0.287249,METAL_DEATH
-0.59449,-0.65679,-0.616902,-0.561116,-0.582302,-0.667792,-0.589859,-0.548319,-0.043251,-0.318337,ROCK_CONTEMPORARY
-0.322396,-0.460317,-0.619731,-0.7964,-0.839945,-0.573878,-0.315305,-0.418412,-0.391921,-0.717427,DANCE
-0.827983,-0.747325,-0.742362,-0.812961,-0.821026,-0.880942,-0.505164,-0.409963,0.095586,-0.241501,JAZZ_CLASSIC
-0.483981,-0.468156,-0.446747,-0.549775,-0.603218,-0.698267,-0.540657,-0.551135,-0.370947,-0.710097,ROCK_ALTERNATIVE
-0.38152,-0.517147,-0.645827,-0.729253,-0.794785,-0.670458,-0.26216,-0.207534,0.135957,-0.203336,POP_INDIE
-0.438787,-0.509308,-0.488543,-0.590099,-0.630569,-0.706353,-0.634554,-0.699243,-0.504369,-0.797169,COUNTRY_TRADITIONAL
-0.652685,-0.568097,-0.526096,-0.631773,-0.667795,-0.814571,-0.454085,-0.521563,-0.346183,-0.699229,EXPERIMENTAL
-0.607491,-0.749755,-0.771499,-0.818722,-0.817309,-0.71586,-0.45615,-0.403978,0.135957,-0.185391,JAZZ_CLASSIC
-0.571274,-0.627082,-0.585502,-0.636544,-0.673454,-0.663261,-0.607324,-0.545503,-0.062452,-0.332238,METAL_ALTERNATIVE
-0.352732,-0.662512,-0.742716,-0.824392,-0.850596,-0.416615,-0.264601,-0.206126,0.190114,-0.163149,ROCK_HARD
-0.593252,-0.303155,-0.436563,-0.608551,-0.661248,-0.813061,-0.333146,-0.299771,0.014351,-0.281183,DANCE
-0.56725,-0.656751,-0.630622,-0.690279,-0.680721,-0.76606,-0.64,-0.647597,-0.158949,-0.385821,POP_CONTEMPORARY
-0.655781,-0.563394,-0.679986,-0.769757,-0.825908,-0.72359,-0.282066,-0.190283,0.151712,-0.199545,GOSPEL
-0.60811,-0.484225,-0.562164,-0.706391,-0.739251,-0.742603,-0.301408,-0.217391,0.107895,-0.238468,ROCK_COLLEGE
-0.509054,-0.713541,-0.767822,-0.861116,-0.86785,-0.377432,-0.335587,-0.294138,0.205376,-0.125237,PUNK
-0.568488,-0.67619,-0.607355,-0.621242,-0.679501,-0.807908,-0.703099,-0.76821,-0.55695,-0.848553,BLUES_CONTEMPORARY
-0.772233,-0.452087,-0.381188,-0.520252,-0.584411,-0.902355,-0.667606,-0.706742,-0.526081,-0.817718,POP_CONTEMPORARY
-0.733323,-0.57476,-0.586775,-0.769127,-0.79129,-0.838294,-0.424225,-0.421581,0.09214,-0.172754,EXPERIMENTAL
-0.555177,-0.748501,-0.860184,-0.911449,-0.894591,-0.453932,-0.165822,-0.183946,0.265441,-0.067358,ROCK_NEO_PSYCHEDELIA
-0.512769,-0.714129,-0.764851,-0.847075,-0.828017,-0.52821,-0.362817,-0.347298,0.222116,-0.079742,METAL_HEAVY
-0.443739,-0.485009,-0.539392,-0.584968,-0.596449,-0.733452,-0.483756,-0.443408,0.021244,-0.27082,ROCK_COLLEGE
-0.276583,-0.590437,-0.620863,-0.748605,-0.789182,-0.421324,-0.368638,-0.307868,0.144327,-0.186908,ROCK_HARD
-0.344374,-0.372918,-0.474187,-0.611341,-0.684605,-0.669836,-0.533897,-0.557472,-0.4125,-0.733097,RNB_SOUL
-0.622969,-0.661101,-0.742574,-0.805131,-0.849154,-0.705731,-0.277559,-0.243091,0.200453,-0.141918,PUNK
-0.42238,-0.412111,-0.65587,-0.623852,-0.717892,-0.522346,-0.16169,-0.172329,0.106418,-0.217743,DANCE
-0.260176,-0.556339,-0.659123,-0.788119,-0.826075,-0.459085,-0.277559,-0.201549,0.146789,-0.196259,HIP_HOP_RAP
-0.404736,-0.689359,-0.721499,-0.845725,-0.855368,-0.397512,-0.371643,-0.288506,0.176821,-0.16416,METAL_HEAVY
-0.327968,-0.426612,-0.507992,-0.565077,-0.589903,-0.763749,-0.470798,-0.445168,0.008936,-0.284216,HIP_HOP_RAP
-0.574369,-0.609132,-0.616054,-0.662466,-0.725881,-0.778232,-0.721502,-0.751347,-0.531054,-0.830658,POP_INDIE
-0.72902,-0.593572,-0.637482,-0.621512,-0.620083,-0.895602,-0.539155,-0.546559,-0.013711,-0.271326,FOLK_INTERNATIONAL
-0.59418,-0.741956,-0.751627,-0.854095,-0.872067,-0.470724,-0.40338,-0.357155,0.17879,-0.13838,METAL_HEAVY
-0.61523,-0.610033,-0.687199,-0.772007,-0.775756,-0.75753,-0.670986,-0.715297,-0.541491,-0.849109,METAL_ALTERNATIVE
-0.564154,-0.782089,-0.803253,-0.854905,-0.860749,-0.620613,-0.345352,-0.374054,0.231962,-0.069885,ROCK_NEO_PSYCHEDELIA
-0.547748,-0.309426,-0.407992,-0.40342,-0.442996,-0.788538,-0.590423,-0.535645,-0.160919,-0.457096,HIP_HOP_RAP
-0.568178,-0.552812,-0.649151,-0.718902,-0.737254,-0.758507,-0.534272,-0.621193,-0.46262,-0.78486,ROCK_CONTEMPORARY
-0.379972,-0.66118,-0.695262,-0.821332,-0.830347,-0.523323,-0.435869,-0.392008,0.13645,-0.159611,METAL_HEAVY
-0.653924,-0.59318,-0.732956,-0.764806,-0.833842,-0.66717,-0.223286,-0.160359,0.159097,-0.195501,ROCK_COLLEGE
-0.529794,-0.695708,-0.656223,-0.689109,-0.689986,-0.721457,-0.529014,-0.499736,0.037491,-0.242007,COUNTRY_TRADITIONAL
-0.309704,-0.696218,-0.681754,-0.733573,-0.746186,-0.351044,-0.420469,-0.428974,-0.244123,-0.631745,ROCK_HARD
-0.343445,-0.249853,-0.451839,-0.587669,-0.682718,-0.764371,-0.514554,-0.499032,-0.347956,-0.676734,POP_CONTEMPORARY
-0.554249,-0.760847,-0.79024,-0.841224,-0.831734,-0.672945,-0.418028,-0.350114,0.186668,-0.132061,METAL_ALTERNATIVE
-0.183718,-0.277288,-0.324752,-0.558596,-0.621859,-0.656775,-0.460469,-0.487062,-0.370997,-0.681789,ROCK_CONTEMPORARY
-0.800495,-0.456006,-0.585007,-0.687219,-0.719445,-0.905997,-0.718873,-0.780602,-0.588361,-0.851207,JAZZ_CLASSIC
-0.356137,-0.563394,-0.584866,-0.714401,-0.747074,-0.635451,-0.403005,-0.325471,0.098048,-0.246304,ROCK_CONTEMPORARY
-0.576227,-0.709935,-0.75976,-0.829073,-0.830902,-0.681564,-0.396244,-0.33568,0.192576,-0.127259,POP_INDIE
-0.400093,-0.492063,-0.416478,-0.488389,-0.531373,-0.752466,-0.6477,-0.563809,-0.18012,-0.485909,DANCE
-0.758427,-0.583382,-0.668458,-0.764896,-0.810208,-0.844336,-0.307042,-0.213519,0.140388,-0.218754,ELECTRONICA
-0.370686,-0.712326,-0.71181,-0.80324,-0.822746,-0.50733,-0.438685,-0.383559,0.145312,-0.167446,METAL_HEAVY
-0.572202,-0.516755,-0.5314,-0.677948,-0.718558,-0.758863,-0.429671,-0.488118,-0.358787,-0.711867,GOSPEL
-0.842718,-0.859808,-0.801839,-0.736634,-0.754397,-0.91466,-0.792864,-0.835487,-0.555818,-0.828232,DANCE
-0.663829,-0.712365,-0.764215,-0.860846,-0.859473,-0.614482,-0.335962,-0.325471,0.207346,-0.111589,METAL_ALTERNATIVE
-0.481195,-0.54223,-0.508557,-0.535464,-0.559778,-0.690626,-0.672864,-0.60852,-0.190951,-0.467206,EXPERIMENTAL
-0.776815,-0.715971,-0.682673,-0.649775,-0.642386,-0.89649,-0.663474,-0.633515,-0.145164,-0.398205,RNB_SOUL
-0.545272,-0.621909,-0.690382,-0.806661,-0.825409,-0.733629,-0.353803,-0.328991,0.176821,-0.13838,ROCK_HARD
-0.40876,-0.689594,-0.69116,-0.727183,-0.7681,-0.475167,-0.413709,-0.528956,-0.407774,-0.745735,ROCK_HARD
-0.407522,-0.550852,-0.5186,-0.521152,-0.581581,-0.696313,-0.442441,-0.514874,-0.352633,-0.699229,COUNTRY_TRADITIONAL
-0.42238,-0.596708,-0.568812,-0.577318,-0.598779,-0.726522,-0.602629,-0.547615,-0.07673,-0.360293,FOLK_INTERNATIONAL
0.032348,-0.372134,-0.591372,-0.619982,-0.748294,-0.48183,-0.26385,-0.387432,-0.461537,-0.750436,POP_CONTEMPORARY
-0.395759,-0.579855,-0.49017,-0.564626,-0.607379,-0.655175,-0.509296,-0.515226,-0.281048,-0.649943,COUNTRY_TRADITIONAL
-0.56694,-0.765354,-0.839038,-0.864446,-0.860971,-0.48805,-0.268357,-0.269495,0.24624,-0.096424,ROCK_COLLEGE
-0.427643,-0.481481,-0.553112,-0.568587,-0.593675,-0.708752,-0.592113,-0.552544,-0.098393,-0.363579,ROCK_CONTEMPORARY
-0.562606,-0.613796,-0.623197,-0.726733,-0.735423,-0.741804,-0.430047,-0.371942,0.118726,-0.193226,ROCK_NEO_PSYCHEDELIA
-0.091781,-0.366255,-0.363225,-0.49712,-0.559667,-0.520746,-0.44507,-0.340961,-0.033405,-0.362568,DANCE
-0.790497,-0.644797,-0.605799,-0.645185,-0.668183,-0.878987,-0.618404,-0.684211,-0.491323,-0.804145,HIP_HOP_RAP
-0.51896,-0.704801,-0.770651,-0.813321,-0.825742,-0.508396,-0.273803,-0.27548,0.224085,-0.1126,METAL_HEAVY
-0.158335,-0.433275,-0.585926,-0.652925,-0.684827,-0.482097,-0.257465,-0.237106,0.117741,-0.212182,ROCK_ALTERNATIVE
-0.44343,-0.54223,-0.610962,-0.706211,-0.780749,-0.659263,-0.396808,-0.32019,0.094602,-0.258941,EXPERIMENTAL
-0.506578,-0.732824,-0.672348,-0.589649,-0.587684,-0.727588,-0.733146,-0.692272,-0.251015,-0.505624,ELECTRONICA
-0.424238,-0.689751,-0.756153,-0.880738,-0.884716,-0.402843,-0.259718,-0.211758,0.211777,-0.132061,METAL_ALTERNATIVE
-0.396378,-0.468548,-0.49024,-0.560036,-0.601942,-0.732297,-0.54892,-0.45925,-0.039313,-0.350689,REGGAE
-0.575607,-0.380756,-0.410608,-0.507471,-0.594341,-0.758863,-0.350047,-0.319486,-0.205229,-0.567294,ROCK_CONTEMPORARY
-0.346541,-0.472859,-0.563649,-0.742214,-0.780749,-0.678987,-0.356244,-0.293434,0.09214,-0.244787,DANCE
-0.100758,-0.592005,-0.67645,-0.776958,-0.834896,-0.218747,-0.292394,-0.194156,0.158112,-0.193479,POP_CONTEMPORARY
-0.50503,-0.6631,-0.678218,-0.7036,-0.758835,-0.835717,-0.744225,-0.791023,-0.537848,-0.824719,POP_CONTEMPORARY
-0.588918,-0.429747,-0.285007,-0.444464,-0.498752,-0.745002,-0.621596,-0.519099,-0.264308,-0.620877,FOLK_INTERNATIONAL
-0.818418,-0.68011,-0.723975,-0.780288,-0.764771,-0.87259,-0.568075,-0.752508,-0.562563,-0.848452,BIG_BAND
-0.323015,-0.659651,-0.748373,-0.861836,-0.865465,-0.27028,-0.279437,-0.213519,0.194545,-0.159611,ROCK_COLLEGE
-0.554868,-0.751754,-0.770863,-0.871467,-0.887767,-0.45793,-0.394366,-0.372646,0.183714,-0.126501,EXPERIMENTAL
-0.679616,-0.696296,-0.72256,-0.70072,-0.696533,-0.768725,-0.551549,-0.561697,0.016813,-0.216732,POP_INDIE
-0.507816,-0.75536,-0.848444,-0.883258,-0.87939,-0.354243,-0.209577,-0.186411,0.248701,-0.089852,ROCK_NEO_PSYCHEDELIA
-0.721065,-0.655889,-0.678784,-0.828893,-0.830291,-0.821413,-0.376714,-0.318782,0.159589,-0.175281,POP_INDIE
-0.420833,-0.480306,-0.372207,-0.551305,-0.575035,-0.586228,-0.309484,-0.38708,-0.312951,-0.654998,ROCK_HARD
-0.716545,-0.823084,-0.80488,-0.777138,-0.777698,-0.580897,-0.646385,-0.607111,-0.069837,-0.300645,ROCK_COLLEGE
-0.481504,-0.566921,-0.534088,-0.627003,-0.668627,-0.682363,-0.572394,-0.499736,-0.050144,-0.34993,POP_INDIE
0.012537,-0.361944,-0.446676,-0.652655,-0.690929,-0.560551,-0.32338,-0.41982,-0.354405,-0.675976,POP_LATIN
-0.336016,-0.391338,-0.514498,-0.607921,-0.711678,-0.565704,-0.33615,-0.452913,-0.348202,-0.686339,COUNTRY_TRADITIONAL
-0.454883,-0.389771,-0.571641,-0.620702,-0.702857,-0.728743,-0.486385,-0.403978,0.009428,-0.305194,BLUES_CONTEMPORARY
-0.639065,-0.448952,-0.616478,-0.753105,-0.811928,-0.754687,-0.446761,-0.662911,-0.575314,-0.854139,BIG_BAND
-0.316205,-0.694611,-0.733239,-0.839424,-0.844549,-0.36837,-0.369202,-0.31843,0.174852,-0.16416,POP_CONTEMPORARY
-0.703173,-0.463453,-0.465205,-0.540684,-0.59484,-0.817059,-0.593991,-0.538462,-0.122517,-0.397447,ROCK_ALTERNATIVE
-0.453026,-0.604938,-0.660255,-0.679568,-0.726546,-0.781697,-0.454085,-0.460658,0.079832,-0.203842,POP_INDIE
-0.610587,-0.651578,-0.642716,-0.745635,-0.790014,-0.659174,-0.480563,-0.458194,0.065062,-0.228358,ELECTRONICA
-0.342826,-0.644484,-0.634088,-0.679928,-0.672732,-0.64558,-0.510235,-0.439535,0.058169,-0.254392,FOLK_INTERNATIONAL
-0.737347,-0.694062,-0.657496,-0.663276,-0.670902,-0.866282,-0.647887,-0.623658,-0.139256,-0.400227,RNB_SOUL
-0.569416,-0.564178,-0.576591,-0.684878,-0.734535,-0.582852,-0.431362,-0.385319,0.09214,-0.220018,ROCK_ALTERNATIVE
-0.375019,-0.369391,-0.47553,-0.60351,-0.729487,-0.688494,-0.45108,-0.426509,-0.308421,-0.664097,POP_INDIE
-0.63566,-0.42622,-0.653041,-0.683078,-0.766047,-0.871968,-0.067606,-0.233938,-0.288925,-0.594338,HIP_HOP_RAP
-0.788887,-0.553596,-0.59413,-0.653375,-0.710291,-0.880853,-0.532958,-0.574371,-0.383207,-0.725515,EXPERIMENTAL
-0.425476,-0.694729,-0.747878,-0.809091,-0.817198,-0.47108,-0.423099,-0.378983,0.160082,-0.146215,GRUNGE_EMO
-0.591704,-0.593964,-0.543777,-0.590099,-0.616366,-0.656864,-0.66216,-0.580708,-0.156488,-0.455579,POP_CONTEMPORARY
-0.540009,-0.653694,-0.683876,-0.775338,-0.800555,-0.611817,-0.357183,-0.299419,0.171898,-0.163655,ROCK_COLLEGE
-0.43631,-0.620811,-0.619165,-0.729703,-0.769986,-0.665837,-0.493333,-0.423341,0.055215,-0.266271,ROCK_ALTERNATIVE
-0.476552,-0.325103,-0.498444,-0.622412,-0.645548,-0.806486,-0.405446,-0.37159,0.021736,-0.281941,HIP_HOP_RAP
-0.358613,-0.553988,-0.590736,-0.734743,-0.765659,-0.63474,-0.44338,-0.462067,-0.334564,-0.698976,METAL_ALTERNATIVE
-0.649899,-0.502646,-0.587624,-0.672637,-0.711678,-0.815193,-0.535023,-0.487062,-0.023066,-0.305447,POP_INDIE
-0.387711,-0.106016,-0.350283,-0.50216,-0.590846,-0.771302,-0.220094,-0.372646,-0.408512,-0.665866,ROCK_ALTERNATIVE
-0.476552,-0.566529,-0.571075,-0.636634,-0.628405,-0.735495,-0.503286,-0.39236,0.059646,-0.274359,ROCK_CONTEMPORARY
-0.444978,-0.592789,-0.573479,-0.615392,-0.689598,-0.697379,-0.618028,-0.673614,-0.457992,-0.777354,ROCK_CONTEMPORARY
-0.687045,-0.768646,-0.744484,-0.776508,-0.788627,-0.814482,-0.555117,-0.640204,-0.467543,-0.803943,EXPERIMENTAL
-0.57406,-0.741917,-0.817468,-0.862466,-0.850929,-0.560729,-0.212019,-0.208238,0.250178,-0.082017,PUNK
