@relation MSD_JMIR_LPC_ALL-weka.filters.unsupervised.attribute.Remove-R3-22_MSD_JMIR_MEATHODS_OF_MOMENTS_ALL-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.instance.Randomize-S23-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute Method_of_Moments_Overall_Standard_Deviation_1 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_2 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_3 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_4 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_5 numeric
@attribute Method_of_Moments_Overall_Average_1 numeric
@attribute Method_of_Moments_Overall_Average_2 numeric
@attribute Method_of_Moments_Overall_Average_3 numeric
@attribute Method_of_Moments_Overall_Average_4 numeric
@attribute Method_of_Moments_Overall_Average_5 numeric
@attribute class {BIG_BAND,BLUES_CONTEMPORARY,COUNTRY_TRADITIONAL,DANCE,ELECTRONICA,EXPERIMENTAL,FOLK_INTERNATIONAL,GOSPEL,GRUNGE_EMO,HIP_HOP_RAP,JAZZ_CLASSIC,METAL_ALTERNATIVE,METAL_DEATH,METAL_HEAVY,POP_CONTEMPORARY,POP_INDIE,POP_LATIN,PUNK,REGGAE,RNB_SOUL,ROCK_ALTERNATIVE,ROCK_COLLEGE,ROCK_CONTEMPORARY,ROCK_HARD,ROCK_NEO_PSYCHEDELIA}

@data
-0.034824,-0.666118,-0.603465,-0.666697,-0.728322,-0.406042,-0.51061,-0.460658,0.042414,-0.262985,EXPERIMENTAL
-0.443739,-0.533608,-0.49802,-0.59928,-0.646103,-0.717104,-0.581596,-0.536349,-0.092485,-0.374194,ROCK_COLLEGE
-0.195481,-0.4466,-0.712801,-0.649325,-0.797725,-0.615637,-0.115117,-0.074811,0.073924,-0.239227,DANCE
-0.654852,-0.504213,-0.626733,-0.713591,-0.762552,-0.827277,-0.329202,-0.446928,-0.353913,-0.699987,POP_CONTEMPORARY
-0.289893,-0.266314,-0.508345,-0.612151,-0.697476,-0.656064,-0.303474,-0.298363,0.034045,-0.266018,METAL_HEAVY
-0.359542,-0.57476,-0.564074,-0.59748,-0.621137,-0.672323,-0.548357,-0.521211,-0.034882,-0.318084,POP_INDIE
-0.613063,-0.744346,-0.744979,-0.765707,-0.78846,-0.770324,-0.503474,-0.688822,-0.542722,-0.848755,GOSPEL
-0.792664,-0.752577,-0.756223,-0.723672,-0.703024,-0.897201,-0.816319,-0.872522,-0.643502,-0.889347,ROCK_CONTEMPORARY
-0.508435,-0.717343,-0.749364,-0.855446,-0.867517,-0.359929,-0.37277,-0.312093,0.194053,-0.134841,METAL_ALTERNATIVE
-0.873642,-0.853302,-0.82256,-0.790999,-0.742691,-0.912643,-0.74892,-0.929519,-0.746597,-0.964868,ELECTRONICA
-0.528556,-0.703194,-0.714356,-0.765437,-0.780527,-0.593603,-0.241127,-0.373702,-0.307634,-0.663592,ROCK_HARD
-0.504102,-0.538703,-0.486704,-0.526193,-0.544133,-0.738783,-0.619155,-0.499384,-0.082638,-0.405788,ELECTRONICA
-0.440025,-0.387027,-0.511881,-0.663636,-0.706519,-0.687606,-0.405446,-0.363492,0.036506,-0.26804,HIP_HOP_RAP
-0.381829,-0.76892,-0.723621,-0.681998,-0.705687,-0.644958,-0.610704,-0.610984,-0.075745,-0.317073,POP_INDIE
-0.557344,-0.559475,-0.538048,-0.684518,-0.720721,-0.70653,-0.386854,-0.524027,-0.424021,-0.75405,FOLK_INTERNATIONAL
-0.700263,-0.57672,-0.637694,-0.727633,-0.777809,-0.808974,-0.415775,-0.370533,0.111833,-0.195754,METAL_HEAVY
-0.229841,-0.592005,-0.652405,-0.713501,-0.723218,-0.434207,-0.308357,-0.488118,-0.475273,-0.77422,PUNK
-0.398236,-0.638487,-0.717256,-0.812151,-0.820638,-0.418214,-0.299155,-0.247316,0.197991,-0.139896,METAL_HEAVY
-0.845906,-0.719851,-0.670014,-0.673987,-0.695534,-0.909462,-0.772019,-0.838761,-0.614947,-0.87628,RNB_SOUL
-0.597276,-0.643739,-0.700849,-0.764266,-0.764216,-0.735495,-0.307418,-0.268791,0.196022,-0.144446,GRUNGE_EMO
-0.535366,-0.400745,-0.482107,-0.636904,-0.650485,-0.672679,-0.416338,-0.337793,0.046845,-0.275622,ELECTRONICA
-0.842656,-0.466588,-0.535078,-0.537624,-0.571817,-0.920107,-0.467793,-0.42827,0.028137,-0.267787,EXPERIMENTAL
-0.378734,-0.240447,-0.578359,-0.584338,-0.727046,-0.683696,-0.2323,-0.301179,-0.337223,-0.642108,DANCE
-0.709395,-0.479914,-0.571782,-0.616742,-0.695922,-0.890093,-0.622911,-0.664179,-0.455235,-0.772804,ROCK_CONTEMPORARY
-0.626374,-0.788987,-0.749222,-0.718272,-0.729653,-0.765882,-0.68338,-0.686006,-0.192428,-0.41514,BIG_BAND
-0.898808,-0.756222,-0.683027,-0.609811,-0.608544,-0.959574,-0.801127,-0.746488,-0.357162,-0.620119,JAZZ_CLASSIC
-0.541247,-0.385068,-0.439887,-0.660216,-0.753398,-0.750511,-0.311925,-0.214575,0.032568,-0.295084,ELECTRONICA
-0.325182,-0.345091,-0.472348,-0.559676,-0.664632,-0.636784,-0.33784,-0.409259,-0.344854,-0.677745,POP_INDIE
-0.511531,-0.683519,-0.744484,-0.835824,-0.841942,-0.442559,-0.307793,-0.256821,0.20833,-0.125742,ROCK_CONTEMPORARY
-0.842996,-0.664237,-0.576096,-0.483798,-0.500915,-0.941528,-0.782723,-0.743566,-0.372424,-0.637053,POP_LATIN
-0.836558,-0.580639,-0.671711,-0.709361,-0.722219,-0.909285,-0.517746,-0.453969,0.046353,-0.250095,COUNTRY_TRADITIONAL
-0.242532,-0.510092,-0.567893,-0.720252,-0.758613,-0.490982,-0.428545,-0.335328,0.075893,-0.26349,ROCK_CONTEMPORARY
-0.678688,-0.737488,-0.743281,-0.748335,-0.762441,-0.758685,-0.67061,-0.772646,-0.54863,-0.835511,COUNTRY_TRADITIONAL
-0.756818,-0.687791,-0.677935,-0.718002,-0.72932,-0.883074,-0.56169,-0.530012,-0.008788,-0.287754,GOSPEL
-0.358613,-0.582207,-0.610608,-0.622322,-0.643384,-0.616437,-0.419906,-0.384967,0.119218,-0.183622,GRUNGE_EMO
-0.377496,-0.593572,-0.57058,-0.659046,-0.703689,-0.573701,-0.468169,-0.433902,0.061615,-0.236194,ROCK_HARD
-0.713357,-0.698844,-0.612942,-0.525293,-0.538086,-0.820702,-0.761315,-0.71167,-0.306157,-0.567042,JAZZ_CLASSIC
-0.618016,-0.65534,-0.684441,-0.851665,-0.859584,-0.703421,-0.350423,-0.311741,0.172882,-0.157842,ROCK_ALTERNATIVE
-0.288345,-0.441113,-0.531188,-0.610891,-0.681221,-0.590049,-0.471362,-0.398345,0.013859,-0.306458,ROCK_CONTEMPORARY
-0.325182,-0.675015,-0.704385,-0.778758,-0.810208,-0.322612,-0.195117,-0.385319,-0.342983,-0.688866,ROCK_NEO_PSYCHEDELIA
-0.742486,-0.679914,-0.663366,-0.629523,-0.632455,-0.883785,-0.638498,-0.610632,-0.105778,-0.35448,ROCK_HARD
-0.671568,-0.674897,-0.699576,-0.833033,-0.840277,-0.649756,-0.404883,-0.301883,0.167959,-0.167193,ROCK_HARD
-0.615539,-0.492847,-0.572277,-0.645545,-0.679001,-0.877832,-0.491643,-0.461362,0.004013,-0.30671,ROCK_COLLEGE
-0.520508,-0.719067,-0.746181,-0.837624,-0.831123,-0.596713,-0.375962,-0.349058,0.202422,-0.095918,METAL_HEAVY
-0.644018,-0.623398,-0.642008,-0.775878,-0.799667,-0.674633,-0.406009,-0.340961,0.139896,-0.181094,EXPERIMENTAL
-0.773007,-0.680737,-0.57355,-0.591539,-0.643329,-0.847268,-0.556432,-0.682591,-0.452625,-0.768583,JAZZ_CLASSIC
-0.232007,-0.580639,-0.617327,-0.70306,-0.722164,-0.650733,-0.424225,-0.415948,0.110849,-0.180083,DANCE
-0.679307,-0.429355,-0.577086,-0.684068,-0.724827,-0.839449,-0.431737,-0.325823,0.064569,-0.285732,DANCE
-0.117784,-0.48932,-0.604385,-0.690639,-0.749626,-0.550422,-0.135775,-0.26351,-0.349482,-0.653987,POP_CONTEMPORARY
-0.592942,-0.671095,-0.638048,-0.740414,-0.7757,-0.756108,-0.596995,-0.553952,-0.06196,-0.335524,GRUNGE_EMO
-0.192385,-0.705859,-0.71372,-0.693159,-0.730818,-0.318792,-0.356995,-0.444816,-0.294341,-0.647921,POP_CONTEMPORARY
-0.84148,-0.513619,-0.465983,-0.580558,-0.621359,-0.943456,-0.568075,-0.575075,-0.353617,-0.696702,GOSPEL
-0.420523,-0.633079,-0.668812,-0.764446,-0.751678,-0.65793,-0.560563,-0.729203,-0.558772,-0.84274,POP_LATIN
-0.519579,-0.624535,-0.786492,-0.772457,-0.803218,-0.658374,-0.147793,-0.18113,0.217685,-0.1126,METAL_HEAVY
-0.382139,-0.641858,-0.608204,-0.631413,-0.628183,-0.632519,-0.454085,-0.406443,0.107402,-0.200051,EXPERIMENTAL
-0.486457,-0.54223,-0.511952,-0.620972,-0.662025,-0.621946,-0.531455,-0.444112,-0.000911,-0.312524,ROCK_COLLEGE
-0.751277,-0.611327,-0.651202,-0.640414,-0.659584,-0.870458,-0.62723,-0.61028,-0.303203,-0.646152,FOLK_INTERNATIONAL
-0.189599,-0.366255,-0.54024,-0.589379,-0.661304,-0.682719,-0.472113,-0.432142,-0.006326,-0.308985,ELECTRONICA
-0.359232,-0.533216,-0.687058,-0.721872,-0.79889,-0.487428,-0.198873,-0.163528,0.133496,-0.206369,ROCK_HARD
-0.773564,-0.532824,-0.544979,-0.609091,-0.637559,-0.880586,-0.430798,-0.422637,0.080324,-0.213699,ELECTRONICA
-0.617706,-0.712875,-0.780481,-0.80324,-0.809653,-0.636162,-0.401878,-0.375814,0.17879,-0.12827,ROCK_COLLEGE
-0.506887,-0.647306,-0.610113,-0.687759,-0.716727,-0.589249,-0.571643,-0.468403,-0.002388,-0.324403,HIP_HOP_RAP
-0.424857,-0.536351,-0.551697,-0.694149,-0.741193,-0.542514,-0.433615,-0.342017,0.08377,-0.249337,ELECTRONICA
-0.230769,-0.563002,-0.663932,-0.771737,-0.822247,-0.475433,-0.31662,-0.207886,0.150235,-0.201062,ELECTRONICA
-0.62916,-0.509308,-0.700354,-0.842484,-0.86663,-0.74518,-0.534272,-0.643021,-0.541639,-0.836775,EXPERIMENTAL
-0.590466,-0.747756,-0.745686,-0.80333,-0.829459,-0.507419,-0.45784,-0.434255,0.140881,-0.139391,POP_INDIE
-0.366352,-0.427004,-0.490877,-0.620342,-0.684549,-0.678632,-0.197371,-0.238866,-0.238707,-0.56502,HIP_HOP_RAP
-0.646804,-0.75242,-0.69611,-0.671917,-0.674896,-0.732474,-0.765822,-0.75272,-0.335795,-0.559965,ROCK_CONTEMPORARY
-0.419904,-0.615011,-0.646252,-0.765077,-0.818585,-0.522701,-0.419718,-0.32019,0.112326,-0.236446,METAL_HEAVY
-0.499149,-0.63688,-0.664498,-0.784158,-0.823079,-0.54207,-0.417653,-0.337793,0.137927,-0.183116,POP_INDIE
-0.492648,-0.747012,-0.759618,-0.833213,-0.845548,-0.390582,-0.393991,-0.357155,0.183714,-0.133578,METAL_ALTERNATIVE
-0.359851,-0.548109,-0.722136,-0.79694,-0.815479,-0.65713,-0.6477,-0.770393,-0.622381,-0.895362,HIP_HOP_RAP
-0.1475,-0.206349,-0.371782,-0.557516,-0.642829,-0.534607,-0.208451,-0.242387,-0.306157,-0.591811,ROCK_CONTEMPORARY
-0.613992,-0.596316,-0.612164,-0.692529,-0.716338,-0.800888,-0.744225,-0.766098,-0.543854,-0.835006,ROCK_ALTERNATIVE
-0.805262,-0.658358,-0.632249,-0.705761,-0.718558,-0.88032,-0.641127,-0.647949,-0.420427,-0.759661,METAL_ALTERNATIVE
-0.555487,-0.686577,-0.712093,-0.733843,-0.730818,-0.738872,-0.489577,-0.486358,0.075893,-0.202831,BIG_BAND
-0.562297,-0.549677,-0.57546,-0.649595,-0.72294,-0.772368,-0.492394,-0.397641,0.040937,-0.283205,FOLK_INTERNATIONAL
-0.274725,-0.621752,-0.757779,-0.80072,-0.815645,-0.392181,-0.2877,-0.260341,0.207346,-0.124731,METAL_ALTERNATIVE
-0.591704,-0.445816,-0.528925,-0.716202,-0.741026,-0.839982,-0.394554,-0.355747,0.077862,-0.220523,REGGAE
-0.678068,-0.643425,-0.677652,-0.727543,-0.764716,-0.83936,-0.539155,-0.695124,-0.559461,-0.856616,REGGAE
-0.527937,-0.487752,-0.439887,-0.564716,-0.640055,-0.734251,-0.655023,-0.66013,-0.455136,-0.77149,ROCK_CONTEMPORARY
-0.289893,-0.579071,-0.698798,-0.763276,-0.797337,-0.525189,-0.290329,-0.217743,0.168944,-0.178061,FOLK_INTERNATIONAL
-0.440953,-0.719028,-0.743211,-0.826643,-0.829404,-0.4749,-0.39662,-0.316318,0.184206,-0.151523,METAL_DEATH
-0.258319,-0.636057,-0.620792,-0.673717,-0.706574,-0.553443,-0.448263,-0.597254,-0.490535,-0.806521,PUNK
-0.427333,-0.332158,-0.482037,-0.566427,-0.649487,-0.710084,-0.402817,-0.45573,-0.32585,-0.682042,ROCK_CONTEMPORARY
-0.671568,-0.374878,-0.732603,-0.554815,-0.706297,-0.818125,0.006009,-0.066714,0.010905,-0.250853,POP_INDIE
-0.756663,-0.730041,-0.718529,-0.749775,-0.759057,-0.854909,-0.53108,-0.45573,0.075401,-0.222545,JAZZ_CLASSIC
-0.487076,-0.684578,-0.592645,-0.559946,-0.611318,-0.756108,-0.70216,-0.676571,-0.253969,-0.527107,ROCK_ALTERNATIVE
-0.781334,-0.878464,-0.822207,-0.770027,-0.724494,-0.892759,-0.900244,-0.963281,-0.751939,-0.962618,EXPERIMENTAL
-0.497911,-0.590045,-0.576238,-0.617372,-0.644327,-0.828343,-0.60169,-0.577539,-0.101347,-0.36737,BLUES_CONTEMPORARY
-0.485219,-0.526945,-0.561598,-0.670657,-0.66258,-0.777965,-0.426854,-0.386024,0.095094,-0.208391,DANCE
-0.655471,-0.498334,-0.599434,-0.675608,-0.696033,-0.836784,-0.482254,-0.516282,-0.332004,-0.687097,GOSPEL
-0.305371,-0.334901,-0.479279,-0.554005,-0.61215,-0.568458,-0.402629,-0.30646,0.03306,-0.309743,HIP_HOP_RAP
-0.206934,-0.51166,-0.593069,-0.707201,-0.760666,-0.588983,-0.3677,-0.307164,0.101494,-0.235435,ROCK_ALTERNATIVE
-0.317134,-0.523418,-0.519873,-0.638704,-0.691983,-0.645491,-0.498967,-0.419116,0.008936,-0.305952,POP_LATIN
-0.218387,-0.523026,-0.614286,-0.712871,-0.757503,-0.487072,-0.388357,-0.319486,0.117741,-0.198534,HIP_HOP_RAP
-0.431357,-0.639232,-0.606082,-0.665977,-0.696477,-0.569258,-0.583286,-0.51417,-0.029466,-0.322886,HIP_HOP_RAP
-0.267606,-0.639467,-0.651485,-0.715302,-0.73509,-0.426299,-0.400563,-0.520155,-0.405608,-0.742702,METAL_ALTERNATIVE
-0.29918,-0.663453,-0.732673,-0.824482,-0.829736,-0.38685,-0.248263,-0.246612,0.222608,-0.103501,ROCK_HARD
-0.241913,-0.73153,-0.775318,-0.886949,-0.879778,-0.208352,-0.286009,-0.259285,0.229993,-0.105523,METAL_DEATH
-0.213434,-0.676151,-0.786775,-0.874167,-0.862524,-0.476322,-0.422723,-0.707094,-0.678852,-0.931126,ROCK_CONTEMPORARY
-0.631017,-0.479914,-0.463366,-0.5982,-0.6719,-0.811373,-0.495775,-0.503961,-0.323093,-0.682042,GOSPEL
-0.262653,-0.550069,-0.613861,-0.764356,-0.795118,-0.476233,-0.411455,-0.560289,-0.448884,-0.769493,POP_CONTEMPORARY
-0.754156,-0.680854,-0.601627,-0.582808,-0.632344,-0.834918,-0.600939,-0.645837,-0.377939,-0.717427,JAZZ_CLASSIC
-0.617397,-0.404664,-0.518741,-0.645545,-0.693148,-0.820968,-0.364695,-0.308924,0.063585,-0.251864,DANCE
-0.735892,-0.713619,-0.748303,-0.822862,-0.777476,-0.83554,-0.390986,-0.320542,0.197991,-0.130797,JAZZ_CLASSIC
-0.331682,-0.644797,-0.620368,-0.60081,-0.618696,-0.71506,-0.616901,-0.561345,-0.07033,-0.344876,ROCK_NEO_PSYCHEDELIA
-0.300418,-0.670939,-0.70488,-0.760846,-0.758502,-0.498889,-0.480939,-0.43179,0.101987,-0.196512,POP_INDIE
-0.921467,-0.236919,-0.138614,-0.29964,-0.282108,-0.976704,-0.643756,-0.542334,-0.284002,-0.58802,JAZZ_CLASSIC
-0.526699,-0.494807,-0.488119,-0.547795,-0.553564,-0.736917,-0.593239,-0.513466,-0.08313,-0.376469,POP_INDIE
-0.260796,-0.53204,-0.47645,-0.527363,-0.541803,-0.550866,-0.59493,-0.494103,-0.059991,-0.365348,HIP_HOP_RAP
-0.604086,-0.677876,-0.696605,-0.69514,-0.678946,-0.651177,-0.489577,-0.461714,0.09214,-0.190699,ROCK_COLLEGE
-0.562606,-0.486577,-0.520368,-0.577228,-0.606713,-0.838472,-0.542723,-0.474388,-0.042759,-0.349425,POP_LATIN
-0.557344,-0.741446,-0.699081,-0.689379,-0.703301,-0.719858,-0.6323,-0.546207,-0.050144,-0.344623,METAL_ALTERNATIVE
-0.73775,-0.743171,-0.789463,-0.836094,-0.850652,-0.783918,-0.36,-0.364548,0.217685,-0.085303,ROCK_HARD
-0.802414,-0.741133,-0.845898,-0.890819,-0.888322,-0.846113,-0.651455,-0.861891,-0.740443,-0.974017,POP_INDIE
-0.720167,-0.629786,-0.600071,-0.565617,-0.581193,-0.815104,-0.7123,-0.720084,-0.294833,-0.521547,POP_INDIE
-0.38864,-0.721967,-0.669731,-0.689379,-0.697198,-0.554598,-0.461972,-0.626474,-0.492455,-0.811904,METAL_ALTERNATIVE
-0.487076,-0.373702,-0.444625,-0.487669,-0.496755,-0.825766,-0.572394,-0.516282,-0.110701,-0.401997,POP_INDIE
